Wall time,Step,Value
1764556402.3723176,19,5630026.0
1764556403.6060464,43,4615661.0
1764556403.7605565,46,3938847.25
1764556405.09981,72,2890837.5
1764556406.2857666,95,2087948.875
1764556409.5767643,159,1335319.125
1764556410.0437417,168,1356628.875
1764556413.4547303,230,1211226.875
1764556413.7081437,235,1070546.625
1764556414.7891407,256,1028292.8125
1764556415.7166653,274,1015081.125
1764556417.511665,309,1161336.125
1764556417.613383,311,1159208.75
1764556418.028956,319,990943.875
1764556419.520149,348,966468.625
1764556420.5479772,368,980857.8125
1764556423.54609,422,1060074.875
1764556425.5440683,461,944566.625
1764556426.260257,475,903876.0625
1764556429.434125,537,953378.0625
1764556430.8119378,564,869529.3125
1764556431.6286786,580,831771.375
1764556431.9845192,587,852371.875
1764556432.035573,588,848425.8125
1764556434.6526728,635,777624.375
1764556435.3218577,648,915994.0625
1764556436.03687,662,786695.75
1764556436.5503938,672,831545.5
1764556438.7518218,715,793094.875
1764556439.162495,723,767867.375
1764556441.3650815,766,796354.125
1764556441.5680714,770,826599.125
1764556441.670305,772,832931.875
1764556442.3825214,786,785759.75
1764556442.4851918,788,836647.5
1764556443.4578004,803,878739.3125
1764556443.7632446,809,803327.625
1764556445.1947565,837,709994.3125
1764556450.7540867,946,779167.8125
1764556452.079775,972,735607.375
1764556452.1304302,973,836943.4375
1764556452.4361677,979,715896.0
1764556453.8674023,1003,791486.375
1764556454.021855,1006,803733.3125
1764556454.4847689,1015,707796.25
1764556457.00466,1064,727858.8125
1764556457.159371,1067,759846.75
1764556458.5566385,1094,722220.0
1764556458.8642802,1100,758159.375
1764556459.1210022,1105,670925.125
1764556461.9712303,1157,661758.3125
1764556462.226642,1162,704578.125
1764556462.277189,1163,804042.25
1764556463.2011502,1181,724827.875
1764556463.8671606,1194,669627.25
1764556466.6910672,1245,759098.125
1764556467.561936,1262,769128.625
1764556470.3766022,1317,740166.9375
1764556470.5332146,1320,729210.375
1764556471.252968,1334,630670.875
1764556471.4557903,1338,697865.6875
1764556473.8965287,1386,705604.75
1764556474.253189,1393,664323.625
1764556475.5815468,1415,669297.0
1764556476.1929693,1427,655693.625
1764556476.7024376,1437,696083.3125
1764556478.2237976,1467,687067.875
1764556478.7847283,1478,744187.75
1764556479.493695,1492,727077.625
1764556481.1241934,1524,688782.375
1764556482.6085532,1553,694484.625
1764556483.424962,1569,689381.8125
1764556484.2411983,1585,644043.0625
1764556484.4452767,1589,675879.0625
1764556485.523492,1606,639334.25
1764556487.3126879,1641,670334.8125
1764556489.4589806,1683,666799.8125
1764556489.9209478,1692,649133.75
1764556490.8420937,1710,673503.375
1764556491.3019195,1719,655735.0
1764556492.014074,1733,598193.125
1764556492.1173298,1735,677932.0625
1764556492.2746398,1738,647310.3125
1764556494.5342093,1782,633616.25
1764556497.0383332,1827,649050.0
1764556497.962843,1845,689418.125
