Wall time,Step,Value
1764558780.3733919,19,4334673.0
1764558781.6629562,43,2614967.25
1764558781.8257306,46,2307216.5
1764558783.2376347,72,1716148.625
1764558784.4963827,95,1458363.5
1764558787.9342923,159,1334492.5
1764558788.4238849,168,1247418.125
1764558792.0107872,230,1057901.125
1764558792.2785058,235,1047433.375
1764558793.4065597,256,1165505.5
1764558794.3771212,274,1070829.25
1764558796.2578516,309,1020821.25
1764558796.365199,311,1040874.25
1764558796.7969453,319,1041626.875
1764558798.3510153,348,991475.25
1764558799.424239,368,1125911.375
1764558802.5280511,422,881036.875
1764558804.6657848,461,959081.25
1764558805.4204648,475,896141.75
1764558808.7489264,537,968713.875
1764558810.1944115,564,916920.6875
1764558811.051141,580,1000918.4375
1764558811.4233258,587,934488.0
1764558811.4772758,588,1017361.8125
1764558814.2060773,635,919847.9375
1764558814.9099298,648,998778.625
1764558815.6606247,662,885426.875
1764558816.1976736,672,994473.4375
1764558818.5064278,715,906211.8125
1764558818.9347124,723,922483.375
1764558821.2687647,766,1008219.6875
1764558821.486699,770,923544.6875
1764558821.5947053,772,1043720.9375
1764558822.3512065,786,942403.125
1764558822.4595592,788,859060.5
1764558823.4944825,803,825227.875
1764558823.8173156,809,904791.875
1764558825.361549,837,863612.25
1764558831.2347782,946,809179.5
1764558832.62615,972,824978.25
1764558832.679198,973,858974.8125
1764558832.999612,979,857360.25
1764558834.4931247,1003,804880.75
1764558834.6536145,1006,816306.875
1764558835.1363747,1015,883468.3125
1764558837.765706,1064,888551.5
1764558837.9265578,1067,1036518.125
1764558839.3797817,1094,799702.0625
1764558839.7015157,1100,829192.125
1764558839.9685497,1105,785357.25
1764558842.905098,1157,752765.625
1764558843.173901,1162,930099.25
1764558843.2273495,1163,790609.125
1764558844.1960096,1181,831472.375
1764558844.8988874,1194,895611.625
1764558847.8458583,1245,822439.1875
1764558848.776807,1262,801298.0625
1764558851.764448,1317,742896.125
1764558851.9264235,1320,788240.0
1764558852.676562,1334,860308.375
1764558852.8913007,1338,841267.625
1764558855.4617853,1386,732335.25
1764558855.8386445,1393,772215.5625
1764558857.2334712,1415,782752.5
1764558857.8774955,1427,766912.4375
1764558858.4131894,1437,804517.0
1764558860.020789,1467,821925.3125
1764558860.6134636,1478,844721.0
1764558861.3687549,1492,748390.25
1764558863.094113,1524,751856.0625
1764558864.6507866,1553,780357.75
1764558865.5095484,1569,776613.75
1764558866.3693933,1585,786927.6875
1764558866.5889878,1589,814391.6875
1764558867.7243392,1606,762248.125
1764558869.624837,1641,780636.5625
1764558871.9154003,1683,675528.6875
1764558872.4112108,1692,784658.375
1764558873.399129,1710,779822.375
1764558873.89134,1719,736579.875
1764558874.6564822,1733,829498.1875
1764558874.7662606,1735,780618.0625
1764558874.9305074,1738,778860.0625
1764558877.3382719,1782,729234.625
1764558880.0023015,1827,735123.75
1764558880.9832911,1845,749089.625
1764558881.4771123,1854,694501.625
1764558882.184291,1867,720651.6875
1764558882.3476298,1870,768111.5625
1764558882.7793558,1878,765323.125
1764558884.9683433,1918,783957.9375
1764558885.8848112,1935,724205.1875
1764558886.4194813,1945,680178.4375
1764558886.5838528,1948,724312.0
1764558889.7080138,2002,750317.1875
1764558890.3581722,2014,713287.875
1764558891.6062605,2037,742181.125
1764558893.8133245,2078,703869.8125
1764558894.2427256,2086,703643.0625
1764558894.4575384,2090,661217.5
1764558894.8373625,2097,653897.9375
1764558899.760295,2188,867657.5
1764558899.9735227,2192,675635.3125
1764558900.401337,2200,701917.875
1764558901.2521777,2212,691140.8125
1764558902.4649148,2232,691617.4375
1764558902.732856,2237,663957.6875
1764558902.7867024,2238,808150.75
1764558903.8567274,2258,655255.25
1764558904.1266074,2263,736469.3125
1764558906.5351636,2308,780669.0
1764558907.1803436,2320,796522.375
1764558908.5823014,2346,928869.25
1764558909.0715263,2355,842805.125
1764558910.9472535,2390,739496.6875
1764558911.0003254,2391,790739.5625
1764558911.10841,2393,714218.375
1764558913.6802464,2437,700977.875
1764558914.592568,2454,702208.0
1764558914.6995683,2456,637386.5625
1764558914.9704638,2461,719387.125
1764558916.3152678,2486,710784.625
1764558916.3690796,2487,657433.25
1764558916.9050589,2497,701563.125
1764558917.0122836,2499,668843.0
1764558917.2825334,2504,640726.0625
1764558918.034401,2518,671700.0
1764558918.3584616,2524,683118.3125
1764558918.8469532,2533,649304.6875
1764558919.6667361,2548,709329.5625
1764558919.991416,2554,673131.25
1764558927.326775,2686,757990.125
1764558928.3146508,2704,744165.4375
1764558930.323983,2741,718452.0625
1764558931.09027,2755,667189.125
1764558932.983702,2790,658064.8125
1764558939.0279074,2897,665051.0
1764558942.9086764,2968,655232.75
1764558943.346412,2976,648683.125
1764558945.50398,3012,735305.5
1764558946.9646342,3039,651640.5625
1764558947.1255696,3042,665199.625
1764558950.2610135,3100,651165.8125
1764558953.62651,3162,637238.5
1764558955.471555,3196,628481.9375
1764558955.5244265,3197,659621.0
1764558957.5479782,3231,650656.375
1764558958.0827758,3241,643552.125
1764558958.299096,3245,603276.875
1764558958.4067948,3247,673150.1875
1764558958.461413,3248,622853.25
1764558961.5943444,3306,632469.0625
1764558963.877333,3346,660820.5
1764558965.5483956,3377,715965.125
1764558967.238484,3404,597518.0
1764558967.5045152,3409,626185.5
1764558968.6880019,3431,613385.25
1764558969.708999,3450,669441.375
1764558970.514246,3465,643227.4375
1764558971.3727186,3481,659704.125
1764558978.0211177,3601,598737.0625
1764558978.9910414,3619,682657.875
1764558979.0994377,3621,603795.625
1764558981.0334628,3657,587232.9375
1764558981.7835672,3671,617448.875
1764558984.799631,3727,602799.8125
1764558985.014494,3731,645642.375
1764558985.6051517,3742,661510.1875
1764558988.3992167,3794,631356.0625
1764558989.7517607,3815,658373.5
1764558990.0268877,3820,584155.375
1764558990.1380954,3822,553562.6875
1764558990.6880882,3832,653751.4375
1764558992.4815755,3865,622183.0625
1764558993.1317527,3877,684397.0625
1764558995.9579678,3929,607137.3125
1764558997.461996,3957,587254.125
1764558998.9890807,3985,611365.6875
1764559001.28302,4023,656963.75
1764559001.8891459,4034,632038.6875
1764559002.0561872,4037,617617.1875
1764559005.188552,4094,608045.25
1764559005.467401,4099,627573.5625
1764559006.0680466,4110,651354.1875
1764559010.0427144,4183,680491.3125
1764559010.6912925,4195,627198.875
1764559010.799847,4197,591168.0625
1764559011.291997,4202,637395.25
1764559011.3456643,4203,764247.75
1764559012.7068667,4228,610803.75
1764559012.975816,4233,655276.6875
1764559013.1390378,4236,591304.875
1764559014.6531029,4264,618785.125
1764559014.8158224,4267,612742.25
1764559016.872261,4305,586111.0
1764559017.5778584,4318,570067.5
1764559017.6855435,4320,614849.0
1764559022.2630136,4401,635492.0
1764559024.0506206,4434,598999.0
1764559027.3913567,4493,685670.375
1764559028.3113887,4510,608385.25
1764559029.4430032,4531,584064.0625
